simulant_id,name,institution,availability,n_oxides,chem_sum,chem_sum_ok,n_minerals,min_sum,min_sum_ok,n_null_values,n_refs,n_comp_refs,source_tier,has_datasheet_url,priority,issues
S001,AGK-2010,AGH University of Technology,Unavailable,0,0.0,True,0,0,True,0,1,0,C,False,P4,
S002,ALRS-1,Australian Space Agency,Limited Stock,0,0.0,True,0,0,True,0,1,1,D,False,P4,
S003,ALS,Univ. of Arizona,Production stopped,0,0.0,True,0,0,True,0,1,1,B,False,P4,
S004,BH-1,Beihang University,Unavailable,0,0.0,True,0,0,True,0,2,1,B,False,P4,
S005,BHLD20,,Unavailable,0,0.0,True,0,0,True,0,1,0,D,False,P4,
S006,BP-1,NASA KSC,Available,0,0.0,True,0,0,True,0,2,2,B,False,P4,
S007,CAS-1,Chinese Academy of Sciences,Unavailable,0,0.0,True,0,0,True,0,3,1,B,False,P4,
S008,CHENOBI,Deltion / NORCAT,Production stopped,0,0.0,True,0,0,True,0,1,0,C,False,P4,
S009,CLDS-i,Chinese Academy of Sciences,Unavailable,0,0.0,True,0,0,True,0,1,0,D,False,P4,
S010,CLRS-1,Chinese Academy of Sciences,Unavailable,0,0.0,True,0,0,True,0,1,1,B,False,P4,
S011,CSM-CL,Colorado School of Mines,Available,0,0.0,True,0,0,True,0,1,0,C,False,P4,
S012,CUG-1A,China University of Geosciences,Unavailable,0,0.0,True,0,0,True,0,2,1,B,False,P4,
S013,CUMT-1,China Univ. of Mining and Tech,Unavailable,0,0.0,True,0,0,True,0,2,1,B,False,P4,
S014,DNA-1,Monolite / ESA,Unavailable,0,0.0,True,0,0,True,0,1,0,C,False,P4,
S015,DNA-1A,Monolite / ESA,Unavailable,0,0.0,True,0,0,True,0,3,1,B,False,P4,
S016,DUST-Y,Space Resource Technologies,Available,0,0.0,True,0,0,True,0,1,0,D,False,P4,
S017,EAC-1,European Astronaut Centre,Available (Research),0,0.0,True,0,0,True,0,1,0,C,False,P4,
S018,EAC-1A,European Astronaut Centre,Available (Research),0,0.0,True,0,0,True,0,2,1,B,False,P4,
S019,FJS-1,JAXA / Shimizu Corporation,Unavailable,0,0.0,True,0,0,True,0,2,1,B,False,P4,
S020,FJS-1g,JAXA / Shimizu Corporation,Unavailable,0,0.0,True,0,0,True,0,1,0,D,False,P4,
S021,FJS-2,JAXA / Shimizu Corporation,Unavailable,0,0.0,True,0,0,True,0,1,0,D,False,P4,
S022,FJS-3,JAXA / Shimizu Corporation,Unavailable,0,0.0,True,0,0,True,0,1,0,D,False,P4,
S023,GCA-1,Goddard Space Center,Production stopped,0,0.0,True,0,0,True,0,1,0,C,False,P4,
S024,GRC-1,NASA Glenn Research Center,Available,0,0.0,True,0,0,True,0,1,0,C,False,P4,
S025,GreenSpar,Hudson Resources,Available (Research),0,0.0,True,0,0,True,0,1,0,D,False,P4,
S026,JLU-H,Jilin University,Unavailable,0,0.0,True,0,0,True,0,1,1,B,False,P4,
S027,JSC-1,NASA / Orbitec,Production stopped,0,0.0,True,0,0,True,0,2,1,B,False,P4,
S028,JSC-1A,NASA / Orbitec,Production stopped,0,0.0,True,0,0,True,0,2,1,B,False,P4,
S029,JSC-1AC,NASA / Orbitec,Production stopped,0,0.0,True,0,0,True,0,1,0,A,True,P4,
S030,JSC-1AF,NASA / Orbitec,Production stopped,0,0.0,True,0,0,True,0,1,0,D,False,P4,
S031,KIGAM-L1,Korea Institute of Geoscience and Mineral Resources,Available (Research),0,0.0,True,0,0,True,0,1,0,D,False,P4,
S032,KLS-1,Korea Institute of Civil Engineering and Building Technology,Available (Research),0,0.0,True,0,0,True,0,2,2,B,False,P4,
S033,KOHLS-1,,Unavailable,0,0.0,True,0,0,True,0,1,0,C,False,P4,
S034,Kohyama Simulant,Shimizu Corporation,Limited Stock,0,0.0,True,0,0,True,0,1,0,D,False,P4,
S035,LCATS-1,Astroport Space Technologies,Available,0,0.0,True,0,0,True,0,1,1,B,False,P4,
S036,LHS-1,Space Resource Technologies,Available,10,98.74,True,5,100.0,True,0,2,0,A,True,P3,
S037,LMS-1,Space Resource Technologies,Available,10,98.17,True,5,100.0,True,0,2,0,A,True,P3,
S038,LSS-ISAC-1,ISRO,Unavailable,0,0.0,True,0,0,True,0,2,2,B,False,P4,
S039,LuNOR,SolSys Mining,Available (Research),0,0.0,True,0,0,True,0,1,0,C,False,P4,
S040,LX-M100,TU Berlin,Available (Research),0,0.0,True,0,0,True,0,2,0,C,False,P4,
S041,LX-T100,TU Berlin,Available (Research),0,0.0,True,0,0,True,0,2,0,C,False,P4,
S042,MKS-1,Shimizu Corporation,Unavailable,0,0.0,True,0,0,True,0,1,0,C,False,P4,
S043,MLS-1,Univ. of Minnesota,Production stopped,0,0.0,True,0,0,True,0,2,1,C,False,P4,
S044,MLS-2,Univ. of Minnesota,Production stopped,0,0.0,True,0,0,True,0,1,0,C,False,P4,
S045,NAO-1,National Astronomical Observatories,Unavailable,0,0.0,True,0,0,True,0,2,1,B,False,P4,
S046,NEU-1,Northeastern University,Unavailable,0,0.0,True,0,0,True,0,1,1,B,False,P4,
S047,NU-LHT,"NASA-MSFC and USGS",Limited Stock,0,0.0,True,0,0,True,0,1,0,D,False,P4,
S048,NU-LHT-1D,NASA / USGS,Limited Stock,0,0.0,True,0,0,True,0,1,0,C,False,P4,
S049,NU-LHT-1M,NASA / USGS,Limited Stock,0,0.0,True,0,0,True,0,1,0,C,False,P4,
S050,NU-LHT-2C,NASA / USGS,Limited Stock,0,0.0,True,0,0,True,0,1,0,D,False,P4,
S051,NU-LHT-2M,NASA / USGS,Limited Stock,0,0.0,True,0,0,True,0,1,0,C,False,P4,
S052,NUW-LHT-5M,NASA / Washington Mills,Available (Research),0,0.0,True,0,0,True,0,1,0,D,False,P4,
S053,OB-1,Deltion / EVC / NORCAT,Limited Stock,0,0.0,True,0,0,True,0,2,1,B,False,P4,
S054,OB-1A,Deltion,Unavailable,0,0.0,True,0,0,True,0,2,1,B,False,P4,
S055,OPR Agglutinate,Off Planet Research,Unavailable,0,0.0,True,0,0,True,0,1,0,D,False,P4,
S056,OPRFLCROSS2,Off Planet Research,Available,0,0.0,True,0,0,True,0,1,0,D,False,P4,
S057,OPRH2N,Off Planet Research,Available,10,99.12,True,5,100.0,True,0,1,0,A,True,P3,
S058,OPRH3N,Off Planet Research,Available,10,99.09,True,5,100.0,True,0,2,0,A,True,P3,
S059,OPRH4N,Off Planet Research,Available,10,99.04,True,5,100.0,True,0,1,0,A,True,P3,
S060,OPRL2N,Off Planet Research,Available,10,99.33,True,5,100.0,True,0,2,0,A,True,P3,
S061,OPRL2NT,Off Planet Research,Available,0,0.0,True,0,0,True,0,1,0,D,False,P4,
S062,Oshima Simulant,Shimizu Corporation,Limited Stock,0,0.0,True,0,0,True,0,1,0,C,False,P4,
S063,TBG-1,Turkish Space Agency,Unavailable,0,0.0,True,0,0,True,0,1,0,C,False,P4,
S064,TJ-1,Tongji University,Unavailable,0,0.0,True,0,0,True,0,1,1,B,False,P4,
S065,TLH-0,Hispansion,Available,13,99.68,True,10,97.6,True,0,1,0,A,True,P3,
S066,TLM-0,Hispansion,Available,13,98.61,True,11,100.0,True,0,1,0,A,True,P3,
S067,TLS-01,Space Zab Company,Available (Research),0,0.0,True,0,0,True,0,2,2,B,False,P4,
S068,TUBS-H,ESA,Available (Research),0,0.0,True,0,0,True,0,1,0,C,False,P4,
S069,TUBS-M,TU Braunschweig,Available (Research),0,0.0,True,0,0,True,0,1,1,B,False,P4,
S070,TUBS-T,TU Braunschweig,Available (Research),0,0.0,True,0,0,True,0,1,1,B,False,P4,
S071,UoM-B,Univ. of Manchester,Available,0,0.0,True,0,0,True,0,1,0,C,False,P4,
S072,UoM-W,Univ. of Manchester,Available,0,0.0,True,0,0,True,0,1,0,C,False,P4,
S073,UW-1H,University of Winnipeg,Unavailable,0,0.0,True,0,0,True,0,1,0,D,False,P4,
S074,UW-1M,University of Winnipeg,Unavailable,0,0.0,True,0,0,True,0,1,0,D,False,P4,
S075,WHU-1,Wuhan University,Unavailable,0,0.0,True,0,0,True,0,2,0,C,False,P4,
S076,LMS-2,Space Resource Technologies,Available,10,98.17,True,5,100.0,True,0,1,0,A,True,P3,
S077,LHS-2,Space Resource Technologies,Available,10,98.74,True,5,100.0,True,0,1,0,A,True,P3,
S078,LHS-2E,Space Resource Technologies,Available,10,99.98,True,2,100.0,True,0,1,0,A,True,P3,
S079,LSP-2,Space Resource Technologies,Available,10,99.99,True,2,100.0,True,0,1,0,A,True,P3,
S080,IGG-01,Chinese Academy of Sciences,Unavailable,0,0.0,True,0,0,True,0,1,1,B,False,P4,
S081,JSC-2A,NASA / Zybek,Production stopped,0,0.0,True,0,0,True,0,1,0,C,False,P4,
S082,GRC-3,NASA Glenn Research Center,Available,0,0.0,True,0,0,True,0,1,1,B,False,P4,
S083,NAO-2,Chinese Academy of Sciences,Unavailable,0,0.0,True,0,0,True,0,1,1,B,False,P4,
