simulant_id,name,status,references,naming,not_naming,unchecked,scalars_present,scalars_sourced,scalars_unsourced,composition_rows,composition_rows_cited,test1_named,test3_all_values_sourced
S001,AGK-2010,not_extracted,1,0,0,1,3,0,"bulk_density, cohesion, friction_angle",0,0,unknown,FAIL
S002,ALRS-1,not_extracted,1,0,0,1,0,0,,0,0,unknown,n/a
S003,ALS,not_extracted,5,4,0,1,1,0,friction_angle,0,0,pass,FAIL
S004,BH-1,verified,8,7,0,1,1,1,,10,10,pass,pass
S005,BHLD20,verified,4,4,0,0,0,0,,2,2,pass,pass
S006,BP-1,verified,5,4,0,1,4,3,bulk_density,7,7,pass,partial
S007,CAS-1,verified,16,14,0,2,3,3,,16,16,pass,pass
S008,CHENOBI,not_extracted,11,11,0,0,5,4,particle_morphology,0,0,pass,partial
S009,CLDS-i,verified,7,7,0,0,0,0,,12,12,pass,pass
S010,CLRS-1,not_extracted,13,12,0,1,0,0,,0,0,pass,n/a
S011,CSM-CL,verified,8,7,0,1,0,0,,5,5,pass,pass
S012,CUG-1A,verified,5,5,0,0,4,1,"bulk_density, cohesion, friction_angle",14,14,pass,partial
S013,CUMT-1,verified,8,8,0,0,7,5,"cohesion, friction_angle",18,18,pass,partial
S014,DNA-1,not_extracted,7,6,0,1,3,3,,0,0,pass,pass
S015,DNA-1A,verified,4,2,0,2,3,3,,10,10,pass,pass
S016,DUST-Y,not_published,3,3,0,0,0,0,,0,0,pass,n/a
S017,EAC-1,verified,5,5,0,0,3,1,"bulk_density, cohesion",31,31,pass,partial
S018,EAC-1A,verified,6,6,0,0,6,4,"bulk_density, particle_size_distribution",13,13,pass,partial
S019,FJS-1,verified,8,7,0,1,4,3,bulk_density,17,17,pass,partial
S020,FJS-1g,not_extracted,2,2,0,0,0,0,,0,0,pass,n/a
S021,FJS-2,not_extracted,5,5,0,0,0,0,,0,0,pass,n/a
S022,FJS-3,not_extracted,6,6,0,0,0,0,,0,0,pass,n/a
S023,GCA-1,not_extracted,7,6,1,0,0,0,,0,0,pass,n/a
S024,GRC-1,not_extracted,1,0,0,1,0,0,,0,0,unknown,n/a
S025,GreenSpar,verified,3,3,0,0,1,1,,12,12,pass,pass
S026,JLU-H,not_extracted,6,6,0,0,2,2,,0,0,pass,pass
S027,JSC-1,verified,14,14,0,0,6,4,"bulk_density, specific_gravity",13,13,pass,partial
S028,JSC-1A,verified,17,15,1,1,6,3,"bulk_density, cohesion, friction_angle",16,16,pass,partial
S029,JSC-1AC,withheld_unverified,10,9,0,1,1,1,,0,0,pass,pass
S030,JSC-1AF,verified,10,10,0,0,3,3,,12,12,pass,pass
S031,KIGAM-L1,verified,3,3,0,0,0,0,,10,10,pass,pass
S032,KLS-1,verified,4,4,0,0,4,2,"density_g_cm3, particle_size_d50",12,12,pass,partial
S033,KOHLS-1,not_extracted,7,6,0,1,0,0,,0,0,pass,n/a
S034,Kohyama Simulant,not_extracted,5,5,0,0,0,0,,0,0,pass,n/a
S035,LCATS-1,verified,4,3,0,1,0,0,,11,11,pass,pass
S036,LHS-1,verified,6,5,0,1,9,9,,16,16,pass,pass
S037,LMS-1,verified,9,8,0,1,9,8,specific_gravity,16,16,pass,partial
